Date,Close
1/2/2020 16:00:00,18.09
1/3/2020 16:00:00,18
1/6/2020 16:00:00,18.53
1/7/2020 16:00:00,18.53
1/8/2020 16:00:00,18.46
1/9/2020 16:00:00,18.37
1/10/2020 16:00:00,17.82
1/13/2020 16:00:00,17.86
1/14/2020 16:00:00,18.01
1/15/2020 16:00:00,18.31
1/16/2020 16:00:00,18
1/17/2020 16:00:00,18.02
1/21/2020 16:00:00,17.64
1/22/2020 16:00:00,17.53
1/23/2020 16:00:00,17.71
1/24/2020 16:00:00,17.34
1/27/2020 16:00:00,16.95
1/28/2020 16:00:00,17.14
1/29/2020 16:00:00,16.95
1/30/2020 16:00:00,17.01
1/31/2020 16:00:00,17.02
2/3/2020 16:00:00,16.91
2/4/2020 16:00:00,17.1
2/5/2020 16:00:00,17.61
2/6/2020 16:00:00,18.26
2/7/2020 16:00:00,18.1
2/10/2020 16:00:00,18.53
2/11/2020 16:00:00,18.6
2/12/2020 16:00:00,18.57
2/13/2020 16:00:00,18.61
2/14/2020 16:00:00,18.53
2/18/2020 16:00:00,18.39
2/19/2020 16:00:00,18.32
2/20/2020 16:00:00,18.72
2/21/2020 16:00:00,22.45
2/24/2020 16:00:00,21.76
2/25/2020 16:00:00,20.64
2/26/2020 16:00:00,19.88
2/27/2020 16:00:00,19.33
2/28/2020 16:00:00,19.56
3/2/2020 16:00:00,19.29
3/3/2020 16:00:00,19.32
3/4/2020 16:00:00,19.8
3/5/2020 16:00:00,19.34
3/6/2020 16:00:00,19.41
3/9/2020 16:00:00,17.67
3/10/2020 16:00:00,17.39
3/11/2020 16:00:00,16.16
3/12/2020 16:00:00,15.69
3/13/2020 16:00:00,18.35
3/16/2020 16:00:00,16.08
3/17/2020 16:00:00,16.81
3/18/2020 16:00:00,16.52
3/19/2020 16:00:00,17.82
3/20/2020 16:00:00,17.59
3/23/2020 16:00:00,17.11
3/24/2020 16:00:00,18.8
3/25/2020 16:00:00,18.41
3/26/2020 16:00:00,18.92
3/27/2020 16:00:00,17.75
3/30/2020 16:00:00,18.15
3/31/2020 16:00:00,18.1
4/1/2020 16:00:00,17.88
