Date,Close
1/2/2020 16:00:00,40.68
1/3/2020 16:00:00,40.48
1/6/2020 16:00:00,40.38
1/7/2020 16:00:00,40.26
1/8/2020 16:00:00,41
1/9/2020 16:00:00,41.19
1/10/2020 16:00:00,41.02
1/13/2020 16:00:00,41.38
1/14/2020 16:00:00,41.35
1/15/2020 16:00:00,42.17
1/16/2020 16:00:00,42.04
1/17/2020 16:00:00,47.37
1/21/2020 16:00:00,46.46
1/22/2020 16:00:00,45.81
1/23/2020 16:00:00,46.19
1/24/2020 16:00:00,46.26
1/27/2020 16:00:00,46.04
1/28/2020 16:00:00,45.61
1/29/2020 16:00:00,45.72
1/30/2020 16:00:00,44.43
1/31/2020 16:00:00,44.16
2/3/2020 16:00:00,44.51
2/4/2020 16:00:00,45.13
2/5/2020 16:00:00,45.78
2/6/2020 16:00:00,46.04
2/7/2020 16:00:00,45.9
2/10/2020 16:00:00,46.12
2/11/2020 16:00:00,45.66
2/12/2020 16:00:00,45.92
2/13/2020 16:00:00,46.48
2/14/2020 16:00:00,47.05
2/18/2020 16:00:00,46.26
2/19/2020 16:00:00,46.25
2/20/2020 16:00:00,46.3
2/21/2020 16:00:00,46.6
2/24/2020 16:00:00,44.62
2/25/2020 16:00:00,42.24
2/26/2020 16:00:00,37.5
2/27/2020 16:00:00,33.13
2/28/2020 16:00:00,33.01
3/2/2020 16:00:00,31.69
3/3/2020 16:00:00,30.11
3/4/2020 16:00:00,32.77
3/5/2020 16:00:00,30.58
3/6/2020 16:00:00,29.33
3/9/2020 16:00:00,23.27
3/10/2020 16:00:00,22.7
3/11/2020 16:00:00,17.9
3/12/2020 16:00:00,15
3/13/2020 16:00:00,13.27
3/16/2020 16:00:00,7.2
3/17/2020 16:00:00,6.53
3/18/2020 16:00:00,4.87
3/19/2020 16:00:00,8.6
3/20/2020 16:00:00,7.76
3/23/2020 16:00:00,9.96
3/24/2020 16:00:00,15.65
3/25/2020 16:00:00,14.41
3/26/2020 16:00:00,17.31
3/27/2020 16:00:00,14.8
3/30/2020 16:00:00,12.39
3/31/2020 16:00:00,13.08
4/1/2020 16:00:00,10.7
4/2/2020 16:00:00,10.05
4/3/2020 16:00:00,10.2
4/6/2020 16:00:00,11.49
4/7/2020 16:00:00,11.99
4/8/2020 16:00:00,12.81
4/9/2020 16:00:00,14.68
4/13/2020 16:00:00,13.79
4/14/2020 16:00:00,12.23
4/15/2020 16:00:00,12.04
4/16/2020 16:00:00,11.26
4/17/2020 16:00:00,11.9
4/20/2020 16:00:00,11.56
4/21/2020 16:00:00,11.57
4/22/2020 16:00:00,12
4/23/2020 16:00:00,11.61
4/24/2020 16:00:00,12
4/27/2020 16:00:00,12.85
4/28/2020 16:00:00,13.9
4/29/2020 16:00:00,15.66
4/30/2020 16:00:00,14.64
5/1/2020 16:00:00,13.33
5/4/2020 16:00:00,11.26
5/5/2020 16:00:00,11.06
5/6/2020 16:00:00,10.81
5/7/2020 16:00:00,11
5/8/2020 16:00:00,11.5
5/11/2020 16:00:00,10.86
5/12/2020 16:00:00,10.11
5/13/2020 16:00:00,9.26
5/14/2020 16:00:00,9.86
5/15/2020 16:00:00,9.75
5/18/2020 16:00:00,11.57
5/19/2020 16:00:00,11.22
5/20/2020 16:00:00,11.17
5/21/2020 16:00:00,11.53
5/22/2020 16:00:00,12.04
5/26/2020 16:00:00,12.22
5/27/2020 16:00:00,14.59
5/28/2020 16:00:00,13.63
5/29/2020 16:00:00,13.19
6/1/2020 16:00:00,13.82
6/2/2020 16:00:00,13.31
6/3/2020 16:00:00,15.92
6/4/2020 16:00:00,19.48
6/5/2020 16:00:00,18.89
6/8/2020 16:00:00,20.97
6/9/2020 16:00:00,19.26
6/10/2020 16:00:00,17.31
6/11/2020 16:00:00,14.63
6/12/2020 16:00:00,16.6
6/15/2020 16:00:00,17.1
6/16/2020 16:00:00,16.74
6/17/2020 16:00:00,16.24
6/18/2020 16:00:00,16.72
6/19/2020 16:00:00,16.01
6/22/2020 16:00:00,14.67
6/23/2020 16:00:00,16.14
6/24/2020 16:00:00,14.19
6/25/2020 16:00:00,13.82
6/26/2020 16:00:00,12.32
6/29/2020 16:00:00,13.14
6/30/2020 16:00:00,13.33
7/1/2020 16:00:00,13.21
7/2/2020 16:00:00,12.74
7/6/2020 16:00:00,12.94
7/7/2020 16:00:00,12.13
7/8/2020 16:00:00,12.46
7/9/2020 16:00:00,11.79
7/10/2020 16:00:00,12.09
7/13/2020 16:00:00,11.8
7/14/2020 16:00:00,11.6
7/15/2020 16:00:00,13.72
7/16/2020 16:00:00,12.97
7/17/2020 16:00:00,13.27
7/20/2020 16:00:00,12.64
7/21/2020 16:00:00,12.9
7/22/2020 16:00:00,12.98
7/23/2020 16:00:00,13.02
7/24/2020 16:00:00,13.32
7/27/2020 16:00:00,12.28
7/28/2020 16:00:00,12.56
7/29/2020 16:00:00,13.58
7/30/2020 16:00:00,13.18
7/31/2020 16:00:00,12.34
8/3/2020 16:00:00,12.04
8/4/2020 16:00:00,12.71
8/5/2020 16:00:00,12.97
8/6/2020 16:00:00,13.35
8/7/2020 16:00:00,13.67
8/10/2020 16:00:00,15.04
8/11/2020 16:00:00,15.95
8/12/2020 16:00:00,15.54
8/13/2020 16:00:00,15.27
8/14/2020 16:00:00,15.23
8/17/2020 16:00:00,14.37
8/18/2020 16:00:00,14.21
8/19/2020 16:00:00,13.87
8/20/2020 16:00:00,13.77
8/21/2020 16:00:00,13.51
8/24/2020 16:00:00,14.5
8/25/2020 16:00:00,14.6
8/26/2020 16:00:00,14.1
8/27/2020 16:00:00,15.07
8/28/2020 16:00:00,17.54
8/31/2020 16:00:00,16.63
9/1/2020 16:00:00,18.12
9/2/2020 16:00:00,18.87
9/3/2020 16:00:00,18.47
